feature,gain,split
INS_60M_DBD_MEAN,7891.034260225296,399.4
INS_DBD_MEAN,7833.182473230362,394.2
POS_SK_DPD_DEF_MEAN,7830.5493053913115,262.7
PREV_AMT_ANNUITY_MIN,7801.562715291977,394.3
REFUSED_DAYS_DECISION_MEAN,7776.185425615311,297.8
CURRENT_TO_APPROVED_CREDIT_MEAN_RATIO,7763.930872249603,368.0
FLAG_DOCUMENT_3,7737.517240095139,167.8
DAYS_DECISION_MEAN_TO_BIRTH,7723.61663570404,360.4
PREV_Consumer_SIMPLE_INTERESTS_MAX,7699.508513355255,393.6
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM,7692.844537544251,360.4
INS_60M_DBD_MAX,7663.095300340652,382.6
BUREAU_CREDIT_ACTIVE_Closed_MEAN,7618.09297838211,264.0
BUREAU_CREDIT_AMT_CREDIT_SUM_MAX,7575.419315433503,386.0
REFUSED_AMT_CREDIT_MIN,7554.99829955101,336.1
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MAX,7550.748791980744,322.1
PREV_ACTIVE_REMAINING_DEBT_MEAN,7539.126337242126,338.7
APPROVED_SIMPLE_INTERESTS_MAX,7523.555756568909,386.2
POS_LOAN_COMPLETED_MEAN,7520.7898886680605,378.5
CC_LIMIT_USE_MEAN,7493.586342525482,232.6
PREV_Consumer_CNT_PAYMENT_MEAN,7487.947569894791,368.4
BUREAU_CREDIT_AMT_CREDIT_SUM_MEAN,7447.408261060715,387.0
INS_DBD_MAX,7442.110649013519,374.6
INS_DAYS_ENTRY_PAYMENT_MAX,7408.818734407425,354.3
APARTMENTS_AVG,7365.192054748535,356.0
INS_AMT_PAYMENT_MIN,7358.2796036243435,373.5
PREV_ACTIVE_AMT_CREDIT_SUM,7355.53126411438,355.3
CTA_CREDIT_TO_ANNUITY_MAX_RATIO,7353.8652471065525,379.0
PREV_AMT_DOWN_PAYMENT_MEAN,7315.586909866333,343.2
PREV_Consumer_APPLICATION_CREDIT_RATIO_MAX,7267.480274009705,328.0
INS_60M_AMT_PAYMENT_SUM,7256.208473443985,285.1
INS_60M_AMT_PAYMENT_MIN,7246.228723716736,361.8
PREV_LAST24M_AMT_ANNUITY_MEAN,7216.046949911118,375.5
APPROVED_CNT_PAYMENT_MEAN,7177.643897151947,303.9
INS_36M_SIGNIFICANT_LATE_PAYMENT_MEAN,7169.527342224121,226.3
PREV_Cash_APPLICATION_CREDIT_DIFF_VAR,7165.7826936244965,348.4
